Budget,Runtime,Popularity,Vote_Average,Vote_Count,Genres,Revenue,Release_Year,Release_Month,Release_Quarter,Revenue_Log,Budget_Log
20000000.0,103.0,9.715639,6.5,168.0,Drama,50012507.0,1995,8,3,17.727783692107625,16.811242881518265
175000000.0,135.0,16.885184,5.9,1017.0,Adventure,264218220.0,1995,7,3,19.392285914366305,18.980296537602072
2800000.0,135.0,2.486073,6.7,35.0,Drama,2616503.0,1994,5,2,14.777349633553024,14.845130332288226
2500000.0,105.0,11.304979,7.7,984.0,Drama,5535405.0,1995,1,1,15.526675472834972,14.731801689838349
10000000.0,89.0,6.638116,6.2,464.0,Comedy,26488734.0,1995,2,1,17.092230106238617,16.118095750958314
21000000.0,115.0,3.030309,6.3,48.0,Comedy,23450000.0,1995,2,1,16.970381095500485,16.860033043306743
27000.0,92.0,10.513367,7.4,769.0,Comedy,3151130.0,1994,9,3,14.963271993978692,10.203629181337648
25000000.0,97.0,7.438934,6.3,184.0,Romance,22200000.0,1994,10,4,16.915602891887552,17.034386422832473
55000000.0,123.0,11.812244,5.9,217.0,Drama,214015089.0,1994,12,4,19.181557084518822,17.822843761378564
16000000.0,107.0,9.844558,6.5,1894.0,Comedy,247275374.0,1994,12,4,19.32601315211921,16.588099342704055
18000000.0,127.0,11.720358,7.3,639.0,Comedy,5887457.0,1994,9,3,15.588334883523403,16.705882371415992
15000000.0,103.0,8.182165,5.0,24.0,Drama,12201255.0,1995,3,1,16.317049455224087,16.52356082573315
700000.0,171.0,9.47666,7.7,91.0,Documentary,7830611.0,1994,9,3,15.87355122583212,13.45883704259595
5000000.0,99.0,9.438042,6.9,299.0,Drama,3049135.0,1994,9,3,14.930368829764083,15.424948670398354
10500000.0,113.0,2.688562,6.0,17.0,Comedy,26325256.0,1995,1,1,17.086039378519754,16.166885910365842
60000000.0,123.0,11.970205,7.2,1558.0,Horror,223664608.0,1994,11,4,19.22565820652359,17.909855136853043
14000000.0,139.0,1.596058,5.2,10.0,Drama,2474000.0,1995,3,1,14.721347236138207,16.454567959008102
60000000.0,109.0,6.710215,4.7,381.0,Comedy,37000000.0,1994,11,4,17.426428497635523,17.909855136853043
11000000.0,121.0,42.149697,8.1,6778.0,Adventure,775398007.0,1977,5,2,20.468887014201155,16.213405921671733
2000000.0,105.0,4.126083,6.6,70.0,Drama,21665468.0,1992,4,2,16.891230260740898,14.508658238524095
30000000.0,133.0,12.199047,7.2,636.0,Adventure,160638883.0,1994,12,4,18.894669447232353,17.216707972959764
17000000.0,106.0,7.698526,6.4,28.0,Drama,7603766.0,1995,3,1,15.844154340353498,16.648723960844016
45000000.0,123.0,14.287753,6.1,272.0,Drama,112006296.0,1994,11,4,18.53406565089319,17.622173069956816
6.0,95.0,1.137266,5.6,7.0,Comedy,5.0,1995,1,1,1.791759469228055,1.9459101490553132
31000000.0,112.0,5.930957,6.1,128.0,Drama,106683817.0,1994,12,4,18.485380045914006,17.249497794707484
